;;;;;;
;1;Aphex Twin - Xtal (1992)\n\n Selected Ambient Works 85-92 gilt sicherlich als einer der bedeutendsten Ambient Alben aller Zeiten und als einer der besten Alben in der Musikgeschichte (wenn man kritischen Fachzeitschriften glauben schenkt).  Es ist ein Wegbereiter der modernen IDM-Bewegung und bricht mit vielen Strukturen des damaligen Verständnisses elektronisch komponierter Musik. Anstatt harter Acid Sounds aus Detroit, der aufkommenden House Bewegung aus allen Teilen Europa oder dem schnellen Rhythmus von Trance ist SAW 85-92 viel organischer, weicher und vermittelt Nostalgie. Ein toller Begleiter für spätsommerliche Abende.;;;;
;2;Boards of Canada - Dayvan Cowboy (2005) \n\n Was wäre Trip Hop ohne BoC? Wer einmal Kindheitserinnerungen und Nostalgie zum Mitnehmen auf die Ohren haben will, kommt an BoC nicht vorbei. Verspielte, vielseitige und multiinstrumentale Klänge waren schon immer sounds die mich wahnsinnig angezogen haben.;;;;
;3;Brian Eno - The Big Ship (1975)\n\n Was hat der Kölner Flughafen mit Ambient Musik zutun? Als Brian Eno 1975 am Flughafen Köln/Bonn einige Stunden auf sein Flug warten musste, empfand er die Atmosphäre so erdrückend, dass er ein Album geschrieben hatte, dass den wartenden Menschen etwas inspiration schenken soll. Das Ergebnis war das 1978 erschienene Album “Music for Airports”, das heute als der Wegbereiter der Ambient Musik gilt. “The Big Ship” stammt aus dem 1975 veröffentlichen Album “Another Green World” und ist für mich mein Einstig in die Ambient Musik gewesen. Gefunden habe ich es beim durchschauen der Tracklist einer Listening Session circa 2015. Seither ist es ständiger Begleiter und Inspirationsquelle gewesen und wird für immer einer der wichtigsten Musikstücke für mich sein.;;;;
;4;Donatz Dozzy - Vaporwave 01(2013)\n\n Wenn Regen Musik schreiben könnte, dann würde daraus Vaporware 01 entstehen. Besonders interessant ist der Aufbau des Songs, angefangen vom Regensound, über zu leichten Percussion sounds, bis hin zu einer immer lauter werdenden Melodie. Bildlich gesprochen scheint es fast so, als würde im Laufe des Stücks der Regen abnehmen und Sonne kurz hervorkommen, bevor sie dann doch wieder hinter der Wolkendecke verschwindet.;;;;
;5;Brian Eno & John Cale - Spinning Away (1990)\n\n “Some kind of change, some kind of spinning away. With every single line moving further out in time.” \n Trifft uns nicht alle manchmal das Gefühl, dass wir Dinge verändern und loslassen und die Erinnerungen nach und nach in der Zeit verblassen? Spinning Away verkörpert genau das. Loslassen und neue Richtungen gehen. War das auch die Idee, wieso “Spinning away” der Soundtrack von The Beach war? Besonders beeindruckend finde ich das Zusammenspiel von John Cale’s Stimme, den Streichern und der Gitarre. Für mich ist “Spinning away” wahrscheinlich mit der emotionalste Song, der zu nahezu jeder Lebens- und Gefühlslage passt. Kurz gesagt: Überlegt euch einmal welchen Song ihr mit auf eine einsame Insel nehmen würdet, auf der ihr den Rest eures Lebens verbringt. Ihr dürft nur diesen einen Song hören. Für mich wäre es “Spinning away”. Was wäre eurer?;;;;
;6;Talking Heads - This Must Be The Place (Naive Melody) (1982) \n\n Während meiner Asien-Reise gab es wahrscheinlich keinen Song den ich öfter gehört habe als diesen. Wo sind wir zu Hause, wann sind wir es und mit wem? Ein ungewöhnliches, nahezu naives  Liebeslied. “Feet on the ground, Head in the sky…”;;;;
;7;Gary Bartz Ntu Troop - Celestial Blues (1971)\n\n Als  ich 2017 mit meinem Umzug nach Köln auch Musik außerhalb dem elektronischen Spektrum mehr zu schätzen gelernt habe, bin ich immer mal wieder im Bariton gelandet. Jeden Donnerstag gab es Jazz-Jam Sessions, die mich bis heute immer noch sehr anziehen. Celestial Blues war für mich der Einstieg in die Jazz-Welt. Gerade das prägnante Saxophon macht den Song wahnsinnig interessant.;;;;
;8;Agnes Obel - Familiar (2016) \n\n Wer die Serie “Dark” gesehen hat, kann sich vielleicht an diesen Song erinnern. Was eine tolle Wahl, um die Atmosphäre einzufangen. Übrigens: Hier singt nur eine Person!;;;;
;9;Headache - Miss Understood (2023)\n\n Schon wieder Trip Hop, aber irgendwie anders! Headache stellen vieles auf den Kopf, was Ambient, Techno, Minimal, Electronica und andere Genre dieser Art ausmachen. Prägnante Snare Sounds treffen auf lange, “landschaftliche” Sounds und wirken sentimental und nostalgisch. Dazu gesellen sich absurde Lyrics, vorgetragen von einer Roboterstimme? Ist das die Zukunft von Musik? Wir wissen es nicht, aber wäre es nicht ungerecht den Robotern nicht auch eine Chance zu geben?;;;;
;10;Burial - Archangel (2007)\n\n Als einer der frühen Vorläufer des Dubstep hat sich Burial in der UK-Szene einen Namen gemacht. Nach wie vor bleibt Burial anonym und es ist kaum etwas über seine Person bekannt. Seine Musik allerdings ist eine sehr interessante Mischung aus Ambient, House und 2-Step-Elementen, die oft einen melancholischen Touch haben.;;;;
;11;Biosphere - Birds Fly By Flapping Wings (2006) \n\n Die Musik von Geir Jenssen aka Biosphere zeigt oft nahe Verbindungen zur Natur, was nicht nur in den Songtiteln, sondern auch in der Musik selbst zu hören ist. Teilweise sind es sehr ungewöhnlich klingende Soundschnipsel, die tatsächlich an Naturgeräusche oder Landschaftsbilder erinnern. Biosphere Musik begleitet mich heute immer dann, wenn ich konzentriert sein muss. “Birds Fly By Flapping Their Wings” eignet sich perfekt, weil es so sehr repetitiv ist ohne mit zu vielen Instrumenten oder Gesang zu überladen.;;;;
;12;André 3000 - The Slang Word P(*)ssy Rolls Off The Tongue With Far Better Ease Than The Proper Word Vagina . Do You Agree?(2023)\n\n André 3000 hat sich zwar mit seinem wesentlich erfolgreicheren Musikprojekt “Outkast” einen viel größeren Namen gemacht, er ist aber auch als Solo-Künstler sehr kreativ und avantgardistisch unterwegs. Sein Album “New Blue Sun” ist ein sehr gewagtes Album, mit Elementen von experimenteller Flötenmusik, das von vielen Musikern belächelt wird. Ich finde allerdings persönlich, dass speziell dieser Track sehr interessante Elemente mitbringt. Speziell die verschiedenen “Texturen” des Songs und die hohen Oktaven des Synthesizers erinnern mich an Jazz-Musik, die mir doch über die letzten Jahre and Herz gewachsen ist.;;;;
;13;James K - Ultra Facial (2025) \n\n Um ans andere Ende der Insel Penang in Malaysia zu kommen, musste ich eine etwas längere Busfahrt auf mich nehmen. Ich kann mich noch gut erinnern, dass wir an der Küste entlang gefahren sind. Auf der linken Seite die Stadt Georgetown mit bunten Dächern und Massen von Menschen auf den Straßen, rechts das Meer, mit Alleen voll Palmen. Zufälligerweise wurde in mein Spotify Algorithmus - die mir bis dahin unbekannte - James K reingespült. Ich hätte mir keinen besseren Song in diesem Moment wünschen können als “Ultra Facial!”. James K ist eine Meisterin, wenn es um Melodien und Atmosphäre geht. Ein wirkliches Kunstwerk! Nicht umsonst wurde einer ihrer Tracks als “Record of the Year” von Resident Advisor gewählt. Ich bin mir sicher: Da kommt noch mehr!;;;;
;14;Oklou - Thank You For Recording (2025) \n\n Wenn mich einer nach meinen Entdeckungen 2025 fragen würde, dann wären ganz vorne Oklou und James K. Besonders begleitet hat mich “Thank you for Recording” durch die kalte Jahreszeit zu Beginn des Jahres. Für mich der perfekte Wintersong. \nIn einer Zeit in der eigenes Schaffen und Kreativität immer mehr an Bedeutung verlieren hat Oklou meiner Meinung nach etwas ganz eigenes kreiert. Mich erinnert ihre Musik auch an die späten 90er, speziell an Portishead oder Björk. Allerdings doch mit deutlichen Tendenzen zum (Hyper)Pop. Wer auch hier Resident Advisor glauben schenken mag, der wird Oklou’s “Choke Enough” unter der Kategorie “Record of the Year” wiederfinden…;;;;
;15;Barker - Utility (2019) \n\n Barker’s Musik “verfolgt” mich schon seit vielen Jahren. Entdeckt habe ich ihn, als ich über ein Lineup einer Berghain Klubnacht gestolpert bin. Schon seit Jahren ist er dort entweder als Solo-Künstler oder als du mit nd_Baumecker (Barker & Baumecker) unterwegs. Beschreiben würde ich seine Musik als “Clubmusik ohne Gewalt”. Mich faszinieren die Tiefe, die er durch Melodien schafft, die verschiedenen Ebenen von Sounds, die “Farben” und Flächen. Bildlich muss ich häufig an Picasso’s kubistische Werke denken. Sie brechen mit Normen und Formen, die Bilder wirken zusammengesetzt, Perspektiven verändert, verdreht, oder auch eckig, kantig aber trotzdem organisch.;;;;
;16;Skee Mask - Hedwig Transformation Group (2024) \n\n Der Bayer Skee Mask bewegt sich immer irgendwo zwischen Breaks und Ambient. Auf dem Label Ilian Tape der Zenker Brothers bringt er schon seit vielen Jahren Tracks raus die sich irgendwo zwischen Club und Meditation bewegen. Besonders angesprochen hat mich “Hedwig Transformation Group”, weil es im Vergleich zu seinen anderen Songs deutlich organischer wirkt. Oftmals sind seine Tracks sehr trocken, oder düster. Eine sehr willkommene Abwechslung!;;;;
;17;Voin Oruwu - A-mplification Draft (2019) Circa 2016 - 1 Jahr bevor ich nach Köln gezogen bin - bin ich sehr viel tiefer in die Techno Szene eingestiegen. Die Freundesgruppe bestand damals aus Daniel, Moe, Robin, Franzi, Sven, Lucas und Serge. Mit Daniel habe ich unendlich viele Mixtapes aufgenommen (damals im Gartenhaus meiner Eltern… liebenswerter Weise haben wir diesem den Clubnamen “La Q” gegeben) und wir haben uns in der ersten Zeit sehr viel Acid Techno und Industrial gehört. Ich erinnere mich noch gut an einen Abend bei Serge, wo wir alle zusammensaßen und zufällig über eine Doku über die Ravekultur in Kiev gestoßen sind. Auch damals war die Situation in der Ukraine schon wahnsinnig aufgeheizt. Zwischen zerstörten Brücken und Gebäuden, Protesten und Gewalt hat sich eine Jugend die schon damals eine schwierige Zukunft hatte etwas aufgebaut. Mich hat diese Doku wahnsinnig fasziniert, weil sie mich auch an die Bilder der Raveszene aus Berlin nach dem Mauerfall erinnert hat. A-mplification Draft von Voin Oruwu war der Soundtrack (noch vor seiner Veröffentlichung) der Doku und vermittelt unheimlich gut die Atmosphäre der damaligen Zeit (Highly recommend: “Exploring Ukraine’s Underground Rave Revolution”);;;;
;18;Mysterious Art - Das Omen (1989) \n\n Ich hatte schon immer eine große Faszination für Synthesizer-lastige EBM Musik. Sicherlich geprägt durch meinen Vater, der mir schon als Kind New Order, DAF und Depeche Mode um die Ohren gehauen hat, bin ich bis heute sehr beeinflusst von dieser Musik. Anstatt hier aber im Übermaß Front 242, Nitzer Ebb, Boy Harsher oder Jäger 90 abzuspielen könnt ihr hier einer meine Entdeckungen aus dem letzten Jahr hören: Mysterious Art hat eigentlich nur einen wirklich Hit produziert, der tatsächlich 1989 durch die Decke ging (fragt mal eure Eltern). Die Band wurde rund um Tilmann Uhrmacher gegründet, der später auch als DJ relativ erfolgreich war und 2011 gestorben ist.;;;;
;19;Ulrich Schnauss - Crazy for you (2002) \n\n Könnten Liebesbriefe Melodien spielen, dann würde mein Liebesbrief Ulrich Schnauss spielen. Hier habe ich mich tatsächlich schwer getan einen passenden Titel zu finden, weil mich so viele der Songs aus seiner Diskografie total flashen. Wer noch nie etwas von “Shoegaze” gehört hat: Ulrich Schnauss ist der Prototyp! Shoegaze - oder auf Deutsch “Auf die Schuhe starren” - steht für dichte mehrmalige Gitarrenwände, schwelgerische Melodien, Echos, Reverbs und Synthesizer. Lasst alle eure Roadtrips Songs bei Seite… Mit einem Motorrad an den Küsten Südostasiens vorbeizufahren und “Crazy for you” zu hören ist ein Gamechanger!;;;;
;20;Radiohead - Weid Fishes / Arpeggi (2007) \n\n *SEUFZZZZZ* Das empfinde ich immer, wenn Thome Yorke (oder Jonny Greenwood oder Ed O’Brien) von Radio Head beginnen ihr Plektron über die Gitarre zu schieben. Auch wenn Radiohead schon seit Jahrzehnten im Mainstream angekommen sind, habe ich sie nie wirklich verfolgt. Vor einigen Monaten bin ich dann auf Weird Fishes gestoßen und was ein Brett von Song! Auch wenn lyrisch etwas merkwürdig, holt mich das Zusammenspiel aus Gitarrenriff und Gesang komplett ab. Ich liebe auch hier wieder die Soundlandschaft die aufgemalt wird, in die man sich richtig reinträten kann.;;;;
;21;The Cure - Just like Heaven (1987) \n\n Zugegeben hat mich das Serienende von Stranger Things doch mehr berührt als ich dachte. Eine Serie die wahrscheinlich viele Jahre lang begleitet hat geht jetzt zu Ende. Ich glaube in den meisten hat sich das bekannte Gefühl wieder breit gemacht, dass Lebensabschnitte irgendwann abgeschlossen sind und man weiter nach vorne geht. Obwohl “Just like Heaven” kein Stranger Things Soundtrack war, könnte er es auch sein! Er beschreibt einen magischen Moment zwischen zwei Menschen, aber eben auch nur den Moment. Er steht für einen kurzen Lebensabschnitt oder eher ein Fragment. Aktuell ist er sicherlich der Song, der am meisten durch meine Kopfhörer gepresst wird.;;;;
;22;Kruder & Dorfmeister - Black Baby (1996) \n\n Die Wiener Künstler Peter Kruder und Richard Dorfmeister kennen sicherlich nicht nur den besten Käsekrainer in der ganzen Hauptstadt sondern wissen auch mit ihren Musikinstrumenten umzugehen. Sie bewegen sich irgendwo zwischen Downtempo und Triphop und schaffen es jazzige Elemente reinzubringen, die einen so schön leicht mitnicken lassen. Wer die beiden noch nicht kennt sollte sich auf jeden Fall auf die Diskografie stürzen. Hier gibt es einiges zu entdecken.;;;;
;23;Orbital - Halcyon (2025) \n\n Eine Listening Session ohne Orbital !? Nicht mit mir! Das Electronica-Duo begeistern schon seit 1987 durch ihre verträumten aber auch teilweise sehr harten Rave Tracks. Halcyon gehört schon seit vielen Jahren zu meinen “Weekly” Songs und ist in der Neuauflage von letztem Jahr tatsächlich nicht weniger schlecht geworden. Toll finde ich die leicht tropische Atmosphäre des Songs, die mir immer eine Leichtigkeit mit in den Tag gibt.;;;;
;24;Niniola - Maradona (2017) \n\n Eigentlich überhaupt mich mein Genre, hat mich Niniola 2017 absolut mit “Maradona” abgeholt. Ich schiebe es einfach mal auf ihre wahnsinnige Stimme (schaut sie euch mal live an), die mich irgendwo berührt.;;;;
;25;Scott Walker - The Old Man’s Back Again (1969) \n\n Als mir Scott Walker vor einigen Jahren über die Ohren gelaufen ist dachte ich “Was eine geile Stimmfarbe!”. Auch wenn sich der Songtitel erst witzig liest, ist sein Hintergrund doch sehr düster. Hier geht es um das Neo-Stalinistische Regime, dass sich 1968 in Prag bildete und den Widerstand der Bevölkerung. “I seen a hand, I seen a vision, it was reaching through the clouds to risk a dream. A shadow cross the sky and It crushed into the ground just like a beast. The old man’s back again.” Vielleicht auch im Kontext der heutigen Zeit kein unpassender Titel, wenn man die Politik alter Männer sieht, die die Politik noch älterer Männer sich zu eigen machen.;;;;
;26;Linkin Park - Session (2003) \n\n Nachdem ich als Kind im Keller meiner Eltern nach CDs gestöbert hatte, ist mir eine besonderes Cover mit einem beflügelten Soldaten aufgefallen. Es war das von Linkin Park’s “Hybrid Theory”. Wahrscheinlich sind Linkin Park die Wurzel meiner musikalischen Entwicklung. Ich kann nicht zählen wie oft ich “Hybrid Theory” rauf und runter gehört habe und damit bin ich sicherlich nicht alleine. Das nachfolgende Album “Meteora” ist bei mir nicht weniger eingeschlagen. Ich habe immer schon die instrumentellen Zwischenstücke auf beiden Platten geliebt (auf Hybrid Theory war es “Cure for the Itch”).;;;;
;27;"Björk - Hyper-ballad (1995) \n\n Björk die Eisprinzessin; oder auch explosiver als jeder isländische Vulkan. Wer noch nie von Björk gehört hat, hat noch einiges zu hören. Es gibt auch endlos lange Remix-Kataloge ihrer Tracks die auch heute noch sehr häufig in DJ Sets gespielt werden. Die Isländerin sticht für mich durch quirlige Beats und ihre sehr prägnante Stimme heraus, die schon sehr unter die Haut geht. Toll sind bei Hyper-ballad auch die Streicher, die dem ganzen Song nochmal eine weiter Dimension dazu geben.";;;;
;28;International Music, Vomit Heat - Heute (2022) \n\n 20 Jahre bevor in Berlin die ersten bunten Pillen in den Industrieruinen Ost-Berlins nach dem Mauerfall verdaut wurden gab es Krautrock und den Motorik-Beat. Vielleicht bringt es mein Beruf mit sich aber ich bin großer Fan des “first principle”-Denkens. Zerlege Dinge so weit, bis du nur noch das rohe Gerüst vor dir hast und bau daraus neue Dinge auf. Was macht Techno aus? Es sind die repetativen, motorischen Schläge des Schlagzeugs, die die Musik so prägnant machen. Kraftwerk gelten sicherlich als einer der ersten Bands, die elektronische Musikinstrumente verwendet haben. Die Beats hat allerdings Klaus Dinger beigesteuert, der heute als Erfinder des Motorik-Beat gilt und leider neben Ralph Hütter und Florian Schneider bei Kraftwerk verblasst ist. Er gilt als Mitbegründer von Kraftwerk, Neu! Und La Düsseldorf. Das Krautrock Fass aufzumachen sprengt etwas den Rahmen, vor allem, weil manche Songs tatsächlich einfach wie ein Rohdiamant klingeln. Es fehlt der Feinschliff. Nichtsdestotrotz empfinde ich Krautrock bis heute als relevant, auch für mich persönlich. Wahrscheinlich deswegen bin vor einigen Jahren auf International Music aufmerksam geworden, die viele Elemente des Krautrocks in einen moderne. Mantel packen. Wer hier auf den beat achtet erkennt die “Motorik”. Fast 8 Minuten wird nichts verändert, außer das Hinzukommen einiger Snares und Hi-Hats. Es ist die Einfachheit des Songs, die mich anzieht. Ein Beat, einfache Akkorde und einfache, sinnfreie lyrics. Perfekt! Mehr brauche ich nicht.;;;;
;29;Les Choc Stars du Zaire - Nakombe Nga (wahrschl. 1983) \n\n ehrlich gesagt kann ich nicht viel zu diesem Song sagen, zumal die Informationen zur Herkunft auch etwas spärlich sind genauso wie mein Erinnerungsvermögen daran, wo ich ihn gefunden habe. Allerdings kann ich ihn sehr gut in eine für mich sehr prägende Zeit einordnen. Als ich 2017 nach Köln kam und sich mein musikalischer Horizont auch Danke Menschen wie beispielsweise Kaleb erweitert hat, bin ich auf Les Chic Satire du Zaire aufmerksam geworden. Hier sticht für mich wieder der Einsatz zweier Instrumente heraus. Dem Gitarrenriff und die Percussions. Der Song hat einen tollen Groove und ist ein wirklicher Allrounder!;;;;
;30;Kollektiv Turmstraße - Ribbon Reef (2019) \n\n Als ich angefangen habe mit DJing war ich zu Beginn sehr angetan von Deep House. Durch Zufall bin ich auf einen (damals noch) unreleased Titel von Kollektiv Turmstraße gestoßen, der auf YouTube hochgeladen war. Ich erinnere mich noch sehr gut daran nicht verstanden zu haben wie man ein so schönes Intro kombinieren kann. Ich habe endlose Mixtapes aufgenommen mit dem Intro “Kollektiv Turmstraße - Unreleased”. Knapp 4 Jahre später wurde er dann tatsächlich veröffentlicht als Gibbon Reef veröffentlicht. Auch wenn ich mich heute nicht mehr wirklich Deep House zugewendet fühle ziehe ich nach wie vor den Hut vor so einer tollen Komposition.;;;;
;31;Tautumeitas - Bur man laimi (2025) \n\n Habt ihr schonmal Waldgeister singen hören? Ich nur mit 16 auf diversen Geburtstagsfeiern komische grüne Schnäpse aus einer Flasche mit einer geisterhaften Erscheinung verteilt wurden und danach alle Angels von Robbie Williams gesungen haben. Zufällig bin ich im letzten über die Live-Übertragung des ESC gestolpert und habe mich etwas in die Folk-Gruppe der Damen aus Lettland verguckt. Nicht nur sehen die 5 in ihren Verkleidungen wirklich aus wie Waldgeister, sie singen auch so. Ein absolut außergewöhnliches Stück, mystisch, melodisch und wirklich Fabel-haft.;;;;
;32;Mica Levi - Vanity (2017) \n\n In der 6. Klasse hatte ich eine kurze, steile Karriere als Flötist auf der Tin Whistle. Nach circa 2 Monaten war es dann auch schon wieder vorbei. Flöte war noch nie meins und mich haben Flötenstücke auch noch nie wahnsinnig interessiert. Aber Vanity hat mich vor einigen Jahren einfach gepackt. Was genau es ist kann ich selbst nicht beschreiben aber für mich ist die Komposition des Stücks einfach unheimlich harmonisch. Sicherlich keine Kost für den Alltag, allerdings ein tolles Leckerli für ausgewählte Momente.;;;;
;33;Oneothrix Point Never - Chrome Country (2013) \n\n Blasphemisch gesprochen ist Chrome Country Kirchenmusik auf Stereoiden. Was relativ harmlos anfängt endet in wirklicher Gewalt. Ein kraftvoller Song im typischen Oneothrix-Style, irgendwie strukturlos strukturiert, verzerrt und verteilt auf vielen Ebenen. Mich hat dieser unerwartete Sprung umgehauen, weil es dann doch nicht zu erwarten ist. Vielleicht sollte die Kirche auch mal einen Sprung wagen und Chrome Country als Einlaufsong wählen. Das würde vor allem auch die Mitmenschen mit gutem Gehör schonen, die von links “Großer Gott wir loben dich” mit 98 db von der alten Frau aus dem Nachbarhaus in die Ohrmuscheln gedrückt bekommen. Hier kommen wir nämlich ohne Gesang aus. Vergelts Gott!;;;;
;34;Tocotronic - Pure Vernunft Darf Niemals Siegen (Superpitcher / Wassermann Mix) (2025) \n\n Ach Kölle, du bes e (KOMPAKT) Jeföhl. Vielleicht ist die Musik vom Kölner Label KOMPAKT oftmals nicht mehr zeitgemäß. Das war aber auch noch nie deren Anspruch und ich denke das ist ein Alleinstellungsmerkmal, vor allem, weil sie im letzten Jahr ihr 500. (!!) Release hatten. Meiner Meinung nach wird zu selten wertgeschätzt welche Stellung Köln und KOMPAKT in jeglichen Genres der elektronischen Musik haben. Ich finde, dass Kompakt nach wie vor eine tolle Qualität an Songs veröffentlicht. Aber wie es Tocotronic hier auch schon sagt: Pure Vernunft darf niemals siegen.;;;;
;35;Hallo und Willkommen :* <3\nHallo und Willkommen :* <3\nHallo und Willkommen :* <3\nHallo und Willkommen :* <3\nHallo und Willkommen :* <3\nHallo und Willkommen :* <3\nHallo und Willkommen :* <3\nHallo und Willkommen :* <3\n;;;;
;36;Test;;;;
